SkillUID|SkillCode|SkillClassUID|SkillName|SkillCategoryName|SkillLabel|SkillDesc|SkillTagList|OtherFlag
"IN0013"|"IN0013"|"INDUSTRY"|"Federal"|"Government"|"Federal"|""|"federal"|0
"IN0014"|"IN0014"|"INDUSTRY"|"Housing"|"Government"|"Housing"|""|"housing"|0
"IN0015"|"IN0015"|"INDUSTRY"|"State and Local"|"Government"|"State and Local"|""|"state and local"|0
"IN0016"|"IN0016"|"INDUSTRY"|"Workers Comp"|"Government"|"Workers Comp"|""|"workers comp"|0
"IN0017"|"IN0017"|"INDUSTRY"|"(General Healthcare)"|"Healthcare"|"(General Healthcare)"|""|"(general healthcare)"|0
"IN0018"|"IN0018"|"INDUSTRY"|"Health System"|"Healthcare"|"Health System"|""|"health system"|0
"IN0019"|"IN0019"|"INDUSTRY"|"Life Sciences"|"Healthcare"|"Life Sciences"|""|"life sciences"|0
"IN0020"|"IN0020"|"INDUSTRY"|"Payer "|"Healthcare"|"Payer "|""|"payer "|0
"IN0021"|"IN0021"|"INDUSTRY"|"Provider"|"Healthcare"|"Provider"|""|"provider"|0
"IN0022"|"IN0022"|"INDUSTRY"|"Veterinary"|"Healthcare"|"Veterinary"|""|"veterinary"|0
"IN0023"|"IN0023"|"INDUSTRY"|"(General Insurance)"|"Insurance"|"(General Insurance)"|""|"(general insurance)"|0
"IN0024"|"IN0024"|"INDUSTRY"|"Life & Annuities"|"Insurance"|"Life & Annuities"|""|"life & annuities"|0
"IN0025"|"IN0025"|"INDUSTRY"|"Property & Casualty"|"Insurance"|"Property & Casualty"|""|"property & casualty"|0
"IN0026"|"IN0026"|"INDUSTRY"|"Specialty"|"Insurance"|"Specialty"|""|"specialty"|0
"IN0027"|"IN0027"|"INDUSTRY"|"(General Manufacturing)"|"Manufacturing"|"(General Manufacturing)"|""|"(general manufacturing)"|0
"IN0028"|"IN0028"|"INDUSTRY"|"(General Pharmaceutical)"|"Pharmaceutical"|"(General Pharmaceutical)"|""|"(general pharmaceutical)"|0
"IN0029"|"IN0029"|"INDUSTRY"|"(General Retail)"|"Retail"|"(General Retail)"|""|"(general retail)"|0
"IN0030"|"IN0030"|"INDUSTRY"|"Apparel"|"Retail"|"Apparel"|""|"apparel"|0
"IN0031"|"IN0031"|"INDUSTRY"|"Consumer Goods"|"Retail"|"Consumer Goods"|""|"consumer goods"|0
"IN0032"|"IN0032"|"INDUSTRY"|"Multi-Level Marketing"|"Retail"|"Multi-Level Marketing"|""|"multi-level marketing"|0
"IN0033"|"IN0033"|"INDUSTRY"|"(General Services)"|"Services"|"(General Services)"|""|"(general services)"|0
"IN0034"|"IN0034"|"INDUSTRY"|"Consulting"|"Services"|"Consulting"|""|"consulting"|0
"IN0035"|"IN0035"|"INDUSTRY"|"Repair & Maintenance"|"Services"|"Repair & Maintenance"|""|"repair & maintenance"|0
"IN0036"|"IN0036"|"INDUSTRY"|"(General Transportation)"|"Transportation"|"(General Transportation)"|""|"(general transportation)"|0
"IN0037"|"IN0037"|"INDUSTRY"|"Aviation"|"Transportation"|"Aviation"|""|"aviation"|0
"IN0038"|"IN0038"|"INDUSTRY"|"Rail"|"Transportation"|"Rail"|""|"rail"|0
"IN0039"|"IN0039"|"INDUSTRY"|"Road / Truck"|"Transportation"|"Road / Truck"|""|"road / truck"|0
"IN0040"|"IN0040"|"INDUSTRY"|"(General Travel & Tourism)"|"Travel & Tourism"|"(General Travel & Tourism)"|""|"(general travel & tourism)"|0
"IN0041"|"IN0041"|"INDUSTRY"|"Cruise"|"Travel & Tourism"|"Cruise"|""|"cruise"|0
"IN0042"|"IN0042"|"INDUSTRY"|"Gambling / Casino"|"Travel & Tourism"|"Gambling / Casino"|""|"gambling / casino"|0
"IN0043"|"IN0043"|"INDUSTRY"|"Hotel"|"Travel & Tourism"|"Hotel"|""|"hotel"|0
"INX000"|"INX000"|"INDUSTRY"|"Industry Other #0"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX001"|"INX001"|"INDUSTRY"|"Industry Other #1"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX002"|"INX002"|"INDUSTRY"|"Industry Other #2"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX003"|"INX003"|"INDUSTRY"|"Industry Other #3"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX004"|"INX004"|"INDUSTRY"|"Industry Other #4"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX005"|"INX005"|"INDUSTRY"|"Industry Other #5"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX006"|"INX006"|"INDUSTRY"|"Industry Other #6"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX007"|"INX007"|"INDUSTRY"|"Industry Other #7"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX008"|"INX008"|"INDUSTRY"|"Industry Other #8"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"INX009"|"INX009"|"INDUSTRY"|"Industry Other #9"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SA0001"|"SA0001"|"SUBJECT AREA"|"Finance"|"(General)"|"Finance"|""|"finance"|0
"SA0002"|"SA0002"|"SUBJECT AREA"|"GDPR Regulation"|"(General)"|"GDPR Regulation"|""|"gdpr regulation"|0
"SA0003"|"SA0003"|"SUBJECT AREA"|"Human Resources"|"(General)"|"Human Resources"|""|"human resources"|0
"SA0004"|"SA0004"|"SUBJECT AREA"|"Internationalization"|"(General)"|"Internationalization"|""|"internationalization"|0
"SA0005"|"SA0005"|"SUBJECT AREA"|"Marketing"|"(General)"|"Marketing"|""|"marketing"|0
"SA0006"|"SA0006"|"SUBJECT AREA"|"Purchasing & Procurement"|"(General)"|"Purchasing & Procurement"|""|"purchasing & procurement"|0
"SA0007"|"SA0007"|"SUBJECT AREA"|"Sales"|"(General)"|"Sales"|""|"sales"|0
"SA0008"|"SA0008"|"SUBJECT AREA"|"Security"|"(General)"|"Security"|""|"security"|0
"SA0009"|"SA0009"|"SUBJECT AREA"|"Survey"|"(General)"|"Survey"|""|"survey"|0
"SA0010"|"SA0010"|"SUBJECT AREA"|"Web Analytics"|"(General)"|"Web Analytics"|""|"web analytics"|0
"SA0011"|"SA0011"|"SUBJECT AREA"|"Investment Performance"|"Capital Management"|"Investment Performance"|""|"investment performance"|0
"SA0012"|"SA0012"|"SUBJECT AREA"|"Banking"|"Financial Services"|"Banking"|""|"banking"|0
"SA0013"|"SA0013"|"SUBJECT AREA"|"Mortgage & Loan"|"Financial Services"|"Mortgage & Loan"|""|"mortgage & loan"|0
"SA0014"|"SA0014"|"SUBJECT AREA"|"Real Estate"|"Financial Services"|"Real Estate"|""|"real estate"|0
"SA0015"|"SA0015"|"SUBJECT AREA"|"Medicare / Medicaid"|"Government"|"Medicare / Medicaid"|""|"medicare / medicaid"|0
"SA0016"|"SA0016"|"SUBJECT AREA"|"Smart City"|"Government"|"Smart City"|""|"smart cities"|0
"SA0017"|"SA0017"|"SUBJECT AREA"|"Workers Comp"|"Government"|"Workers Comp"|""|"workers comp"|0
"SA0018"|"SA0018"|"SUBJECT AREA"|"Healthcare Claims"|"Healthcare"|"Claims"|""|"claims"|0
"SA0019"|"SA0019"|"SUBJECT AREA"|"Clinical"|"Healthcare"|"Clinical"|""|"clinical"|0
"SA0020"|"SA0020"|"SUBJECT AREA"|"HIPAA Regulation"|"Healthcare"|"HIPAA Regulation"|""|"hipaa regulation"|0
"SA0021"|"SA0021"|"SUBJECT AREA"|"Industry Ratings (e.g. Star)"|"Healthcare"|"Industry Ratings (e.g. Star)"|""|"industry ratings (e.g. star)"|0
"SA0022"|"SA0022"|"SUBJECT AREA"|"Laboratory"|"Healthcare"|"Laboratory"|""|"laboratory"|0
"SA0023"|"SA0023"|"SUBJECT AREA"|"Patient / EHR"|"Healthcare"|"Patient / EHR"|""|"patient / ehr"|0
"SA0024"|"SA0024"|"SUBJECT AREA"|"Billing"|"Insurance"|"Billing"|""|"billing"|0
"SA0025"|"SA0025"|"SUBJECT AREA"|"Insurance Claims"|"Insurance"|"Claims"|""|"claims"|0
"SA0026"|"SA0026"|"SUBJECT AREA"|"Policy"|"Insurance"|"Policy"|""|"policy"|0
"SA0027"|"SA0027"|"SUBJECT AREA"|"Statutory Reporting"|"Insurance"|"Statutory Reporting"|""|"statutory reporting"|0
"SA0028"|"SA0028"|"SUBJECT AREA"|"Distribution"|"Manufacturing"|"Distribution"|""|"distribution"|0
"SA0029"|"SA0029"|"SUBJECT AREA"|"Inventory"|"Manufacturing"|"Inventory"|""|"inventory"|0
"SA0030"|"SA0030"|"SUBJECT AREA"|"Logistics"|"Manufacturing"|"Logistics"|""|"logistics"|0
"SA0031"|"SA0031"|"SUBJECT AREA"|"Supply Chain"|"Manufacturing"|"Supply Chain"|""|"supply chain"|0
"SA0032"|"SA0032"|"SUBJECT AREA"|"Attribution"|"Marketing"|"Attribution"|""|"attribution"|0
"SA0033"|"SA0033"|"SUBJECT AREA"|"Brand Management"|"Marketing"|"Brand Management"|""|"brand management"|0
"SA0034"|"SA0034"|"SUBJECT AREA"|"Campaign Management"|"Marketing"|"Campaign Management"|""|"campaign management"|0
"SA0035"|"SA0035"|"SUBJECT AREA"|"Marketing Customer Loyalty"|"Marketing"|"Customer Loyalty"|""|"customer loyalty"|0
"SA0036"|"SA0036"|"SUBJECT AREA"|"Public Relations"|"Marketing"|"Public Relations"|""|"public relations"|0
"SA0037"|"SA0037"|"SUBJECT AREA"|"SEO"|"Marketing"|"SEO"|""|"seo"|0
"SA0038"|"SA0038"|"SUBJECT AREA"|"Credit Risk"|"Retail"|"Credit Risk"|""|"credit risk"|0
"SA0039"|"SA0039"|"SUBJECT AREA"|"Retail Customer Loyalty"|"Retail"|"Customer Loyalty"|""|"customer loyalty"|0
"SA0040"|"SA0040"|"SUBJECT AREA"|"Demand Planning"|"Retail"|"Demand Planning"|""|"demand planning"|0
"SA0041"|"SA0041"|"SUBJECT AREA"|"Fraud Detection"|"Retail"|"Fraud Detection"|""|"fraud detection"|0
"SA0042"|"SA0042"|"SUBJECT AREA"|"Price Modeling"|"Retail"|"Price Modeling"|""|"price modeling"|0
"SA0043"|"SA0043"|"SUBJECT AREA"|"Stock Optimization"|"Retail"|"Stock Optimization"|""|"stock optimization"|0
"SA0044"|"SA0044"|"SUBJECT AREA"|"Store Performance"|"Retail"|"Store Performance"|""|"store performance"|0
"SAX000"|"SAX000"|"SUBJECT AREA"|"Subject Area Other #0"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX001"|"SAX001"|"SUBJECT AREA"|"Subject Area Other #1"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX002"|"SAX002"|"SUBJECT AREA"|"Subject Area Other #2"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX003"|"SAX003"|"SUBJECT AREA"|"Subject Area Other #3"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX004"|"SAX004"|"SUBJECT AREA"|"Subject Area Other #4"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX005"|"SAX005"|"SUBJECT AREA"|"Subject Area Other #5"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX006"|"SAX006"|"SUBJECT AREA"|"Subject Area Other #6"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX007"|"SAX007"|"SUBJECT AREA"|"Subject Area Other #7"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX008"|"SAX008"|"SUBJECT AREA"|"Subject Area Other #8"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
"SAX009"|"SAX009"|"SUBJECT AREA"|"Subject Area Other #9"|"ZZZ Other"|"{Enter Value Here}"|""|"{enter value here}"|1
